lat,lon,place,name
531849/10000,72691/10000,"<https://noordergraf.rug.nl/site/de26831bunde>","Kirchring, Bunde"
65977/1250,17251/2500,"<https://noordergraf.rug.nl/site/dr7811HEemmen>","Kerkhoflaan, Emmen"
527771/10000,1701/250,"<https://noordergraf.rug.nl/site/dr7841CDsleen>","Algemene Begraafplaats Sleen"
263597/5000,34227/5000,"<https://noordergraf.rug.nl/site/dr7844TCveenoord>","Boerdijk, Veenoord"
527153/10000,12939/2000,"<https://noordergraf.rug.nl/site/dr7907CHhoogeveen>","Zuiderweg, Hoogeveen"
106159/2000,65723/10000,"<https://noordergraf.rug.nl/site/dr9481CGvries>","Esakkers, Vries"
21257/400,32891/5000,"<https://noordergraf.rug.nl/site/dr9761ALeelde>","De Duinen, Eelde"
531627/10000,1311/200,"<https://noordergraf.rug.nl/site/dr9765paterswolde>","Kluivingsbos, Paterswolde"
106137/2000,13807/2500,"<https://noordergraf.rug.nl/site/fr8701DWbolsward>","Franekerstraat, Bolsward"
6662/125,10131/2000,"<https://noordergraf.rug.nl/site/fr8899AWoost_vlieland>","Kerkplein, Vlieland"
106427/2000,28867/5000,"<https://noordergraf.rug.nl/site/fr8915ABleeuwarden>","Noorder Begraafplaats, Leeuwarden"
532067/10000,57697/10000,"<https://noordergraf.rug.nl/site/fr8915CPleeuwarden>","Rooms Katholieke begraafplaats, Leeuwarden"
33256/625,57909/10000,"<https://noordergraf.rug.nl/site/fr8917AVleeuwarden>","Joodse Begraafplaats, Leeuwarden"
534791/10000,12321/2000,"<https://noordergraf.rug.nl/site/fr9166NAschiermonnikoog>","Hundlingiuspad, Schiermonnikoog"
266259/5000,1229/200,"<https://noordergraf.rug.nl/site/fr9285TCbuitenpost>","Mariakerk Buitenpost"
531721/10000,63657/10000,"<https://noordergraf.rug.nl/site/gr9351RLtolbert>","Oldebertweg, Tolbert"
531229/10000,62503/10000,"<https://noordergraf.rug.nl/site/gr9367PAde_wilp>","Nennstiehlweg, De Wilp"
531201/10000,66587/10000,"<https://noordergraf.rug.nl/site/gr9479TNnoordlaren>","Pollseweg, Noordlaren"
531659/10000,67531/10000,"<https://noordergraf.rug.nl/site/gr9601KAhoogezand>","De Stille Hof, Hoogezand"
53123/1000,16807/2500,"<https://noordergraf.rug.nl/site/gr9606PEkropswolde>","Begraafplaats Wolfsbarge, Kropswolde"
106503/2000,34351/5000,"<https://noordergraf.rug.nl/site/gr9628BGsiddeburen>","Gereformeerde Begraafplaats, Siddeburen"
266221/5000,858/125,"<https://noordergraf.rug.nl/site/gr9628TKsiddeburen>","Hervormde Begraafplaats, Siddeburen"
106209/2000,17187/2500,"<https://noordergraf.rug.nl/site/gr9641ANveendam>","Pinksterstraat, Veendam"
132937/2500,8703/1250,"<https://noordergraf.rug.nl/site/gr9679ADscheemda>","Kerklaan, Scheemda"
53181/1000,8711/1250,"<https://noordergraf.rug.nl/site/gr9679KHscheemda>","Hoflaan, Scheemda"
106351/2000,70959/10000,"<https://noordergraf.rug.nl/site/gr9686RSbeerta>","Kerkstraat, Beerta"
66423/1250,8929/1250,"<https://noordergraf.rug.nl/site/gr9696XGoudeschans>","Schanspad, Oudeschans"
266019/5000,16431/2500,"<https://noordergraf.rug.nl/site/gr9721AAgroningen>","R.K. Begraafplaats, Groningen"
265953/5000,32969/5000,"<https://noordergraf.rug.nl/site/gr9722SNgroningen>","Esserveld, Groningen"
66511/1250,2659/400,"<https://noordergraf.rug.nl/site/gr9723EJgroningen>","Engelberterweg, Groningen"
266113/5000,66371/10000,"<https://noordergraf.rug.nl/site/gr9723EWgroningen>","Middelberterweg, Groningen"
532061/10000,65719/10000,"<https://noordergraf.rug.nl/site/gr9725ACgroningen>","Zuiderbegraafplaats, Groningen"
532443/10000,66279/10000,"<https://noordergraf.rug.nl/site/gr9734ATgroningen>","Stefanuskerk, Groningen"
133077/2500,32753/5000,"<https://noordergraf.rug.nl/site/gr9741ACgroningen>","Noorderbegraafplaats, Groningen"
133101/2500,13099/2000,"<https://noordergraf.rug.nl/site/gr9741GHgroningen>","Selwerderhof, Groningen"
531727/10000,66069/10000,"<https://noordergraf.rug.nl/site/gr9751BBharen>","Kerkstraat, Haren"
531613/10000,16549/2500,"<https://noordergraf.rug.nl/site/gr9751XCharen>","Harenerhof, Haren"
4253/80,66129/10000,"<https://noordergraf.rug.nl/site/gr9752CMharen>","Eshof, Haren"
106617/2000,16439/2500,"<https://noordergraf.rug.nl/site/gr9781THbedum>","Klokkentoren Westerdijkshorn"
21311/400,66939/10000,"<https://noordergraf.rug.nl/site/gr9791KEten_boer>","Stadsweg, Ten Boer"
532481/10000,66477/10000,"<https://noordergraf.rug.nl/site/gr9798PDgarmerwolde>","Kerk Garmerwolde"
106479/2000,64103/10000,"<https://noordergraf.rug.nl/site/gr9801CAzuidhorn>","Klinckemalaan, Zuidhorn"
532647/10000,31969/5000,"<https://noordergraf.rug.nl/site/gr9804TEnoordhorn>","Noorderweg, Noordhorn"
533811/10000,68597/10000,"<https://noordergraf.rug.nl/site/gr9906PPbierum>","Sebastiaankerk, Bierum"
533111/10000,69973/10000,"<https://noordergraf.rug.nl/site/gr9936BTfarmsum>","Oterdum"
53309/1000,8707/1250,"<https://noordergraf.rug.nl/site/gr9936TCfarmsum>","Kerk van Heveskes, Farmsum"
133339/2500,65127/10000,"<https://noordergraf.rug.nl/site/gr9951STwinsum>","Ranumerweg, Winsum"
133319/2500,65117/10000,"<https://noordergraf.rug.nl/site/gr9951TNwinsum>","Schilligeham, Winsum"
266803/5000,63441/10000,"<https://noordergraf.rug.nl/site/gr9971EBulrum>","Leensterweg, Ulrum"
66701/1250,15733/2500,"<https://noordergraf.rug.nl/site/gr9975VRvierhuizen>","Hoofdstraat, Vierhuizen"
13351/250,6749/1000,"<https://noordergraf.rug.nl/site/gr9985SCoosternieland>","Oosternielandsterweg, Oosternieland"
